"","Country","District_Name","Week","Probable","Confirmed","ConfirmedFOI","ProbableFOI","DistrictID","WeekID","probable_cumulative","confirmed_cumulative"
"232","Sierra Leone","KENEMA","1/6/14",0,0,0,0,"KENEMA",2,0,0
"234","Sierra Leone","KOINADUGU","1/6/14",0,0,0,0,"KOINADUGU",2,0,0
"236","Sierra Leone","KONO","1/6/14",0,0,0,0,"KONO",2,0,0
"238","Sierra Leone","MOYAMBA","1/6/14",0,0,0,0,"MOYAMBA",2,0,0
"240","Sierra Leone","PORT LOKO","1/6/14",0,0,0,0,"PORT LOKO",2,0,0
"242","Sierra Leone","PUJEHUN","1/6/14",0,0,0,0,"PUJEHUN",2,0,0
"244","Sierra Leone","TONKOLILI","1/6/14",0,0,0,0,"TONKOLILI",2,0,0
"246","Sierra Leone","WESTERN AREA RURAL","1/6/14",0,0,0,0,"WESTERN AREA RURAL",2,0,0
"248","Sierra Leone","WESTERN AREA URBAN","1/6/14",0,0,0,0,"WESTERN AREA URBAN",2,0,0
"250","Guinea","BEYLA","1/13/14",0,0,0,0,"BEYLA",3,0,0
"252","Guinea","BOFFA","1/13/14",0,0,0,0.0392207131532813,"BOFFA",3,0,0
"254","Guinea","BOKE","1/13/14",0,0,0,0,"BOKE",3,0,0
"256","Guinea","CONAKRY","1/13/14",0,0,0,0.0392207131532813,"CONAKRY",3,0,0
"258","Guinea","COYAH","1/13/14",0,0,0,0.0392207131532813,"COYAH",3,0,0
"260","Guinea","DABOLA","1/13/14",0,0,0,0,"DABOLA",3,0,0
"262","Guinea","DALABA","1/13/14",0,0,0,0,"DALABA",3,0,0
"264","Guinea","DINGUIRAYE","1/13/14",0,0,0,0,"DINGUIRAYE",3,0,0
"266","Guinea","DUBREKA","1/13/14",0,0,0,1.09861228866811,"DUBREKA",3,0,0
"268","Guinea","FARANAH","1/13/14",0,0,0,0,"FARANAH",3,0,0
"270","Guinea","FORECARIAH","1/13/14",0,0,0,0,"FORECARIAH",3,0,0
"272","Guinea","FRIA","1/13/14",0,0,0,0.0392207131532813,"FRIA",3,0,0
"274","Guinea","GAOUAL","1/13/14",0,0,0,0,"GAOUAL",3,0,0
"276","Guinea","GUECKEDOU","1/13/14",0,0,0,0,"GUECKEDOU",3,0,0
"278","Guinea","KANKAN","1/13/14",0,0,0,0,"KANKAN",3,0,0
"280","Guinea","KEROUANE","1/13/14",0,0,0,0,"KEROUANE",3,0,0
"282","Guinea","KINDIA","1/13/14",0,0,0,0.0392207131532813,"KINDIA",3,0,0
"284","Guinea","KISSIDOUGOU","1/13/14",0,0,0,0,"KISSIDOUGOU",3,0,0
"286","Guinea","KOUBIA","1/13/14",0,0,0,0,"KOUBIA",3,0,0
"288","Guinea","KOUNDARA","1/13/14",0,0,0,0,"KOUNDARA",3,0,0
"290","Guinea","KOUROUSSA","1/13/14",0,0,0,0,"KOUROUSSA",3,0,0
"292","Guinea","LABE","1/13/14",0,0,0,0,"LABE",3,0,0
"294","Guinea","LELOUMA","1/13/14",0,0,0,0,"LELOUMA",3,0,0
"296","Guinea","LOLA","1/13/14",0,0,0,0,"LOLA",3,0,0
"298","Guinea","MACENTA","1/13/14",0,0,0,0,"MACENTA",3,0,0
"300","Guinea","MALI","1/13/14",0,0,0,0,"MALI",3,0,0
"302","Guinea","MAMOU","1/13/14",0,0,0,0,"MAMOU",3,0,0
"304","Guinea","N'ZEREKORE","1/13/14",0,0,0,0,"NZEREKORE",3,0,0
"306","Guinea","PITA","1/13/14",0,0,0,0,"PITA",3,0,0
"308","Guinea","SIGUIRI","1/13/14",0,0,0,0,"SIGUIRI",3,0,0
