Country,District,Week,ConfirmedCount,FOI__1,WeekID,DistrictID
Liberia,LOFA,9/1/15,23,0,35,LOFA
Sierra Leone,KAILAHUN,9/1/15,23,15.50034866,35,KAILAHUN
Sierra Leone,KOINADUGU,10/20/15,23,0,42,KOINADUGU
Guinea,NZEREKORE,11/10/15,23,0.298856401,45,NZEREKORE
Guinea,CONAKRY,12/29/15,23,3.492214593,52,CONAKRY
Guinea,CONAKRY,2/2/16,23,0.598492683,57,CONAKRY
Sierra Leone,BOMBALI,2/16/16,23,1.078098916,59,BOMBALI
Guinea,FORECARIAH,2/23/16,23,0,60,FORECARIAH
Sierra Leone,KENEMA,10/6/15,22,4.16837219,40,KENEMA
Liberia,BONG,11/10/15,22,0,45,BONG
Sierra Leone,TONKOLILI,12/15/15,22,20.58812669,50,TONKOLILI
Liberia,LOFA,6/16/15,21,0,24,LOFA
Liberia,LOFA,7/28/15,21,0,30,LOFA
Liberia,NIMBA,8/11/15,21,2.398611987,32,NIMBA
Guinea,NZEREKORE,10/13/15,21,0.898114198,41,NZEREKORE
Guinea,CONAKRY,12/15/15,21,0.998033413,50,CONAKRY
Sierra Leone,WESTERN AREA URBAN,3/1/16,21,1.464623292,61,WESTERNAREAURBAN
Guinea,COYAH,3/8/16,21,0,62,COYAH
Sierra Leone,KAILAHUN,8/18/15,20,6.621886295,33,KAILAHUN
Sierra Leone,WESTERN AREA RURAL,9/1/15,20,1.299198175,35,WESTERNAREARURAL
Sierra Leone,TONKOLILI,10/6/15,20,22.72586799,40,TONKOLILI
Guinea,KEROUANE,10/13/15,20,0.099701446,41,KEROUANE
Guinea,KEROUANE,10/20/15,20,0,42,KEROUANE
Sierra Leone,BO,11/10/15,20,0,45,BO
Liberia,GRAND CAPE MOUNT,11/17/15,20,1.095303878,46,GRANDCAPEMOUNT
Sierra Leone,KONO,12/15/15,20,0,50,KONO
Guinea,CONAKRY,12/22/15,20,2.394992397,51,CONAKRY
Sierra Leone,BOMBALI,12/22/15,20,4.318519464,51,BOMBALI
Sierra Leone,WESTERN AREA URBAN,1/26/16,20,3.325195652,56,WESTERNAREAURBAN
Sierra Leone,WESTERN AREA URBAN,2/16/16,20,2.735536457,59,WESTERNAREAURBAN
Guinea,GUECKEDOU,4/7/15,19,0,14,GUECKEDOU
Sierra Leone,KENEMA,6/16/15,19,0,24,KENEMA
Guinea,CONAKRY,11/3/15,19,0.099852506,44,CONAKRY
Sierra Leone,BO,12/1/15,19,0,48,BO
Sierra Leone,KONO,12/1/15,19,0,48,KONO
Guinea,CONAKRY,12/8/15,19,1.097975255,49,CONAKRY
Sierra Leone,BOMBALI,12/8/15,19,4.812954307,49,BOMBALI
Sierra Leone,BOMBALI,12/15/15,19,4.712967838,50,BOMBALI
Guinea,DUBREKA,12/22/15,19,0.499071305,51,DUBREKA
Sierra Leone,KAMBIA,1/5/16,19,0,53,KAMBIA
Sierra Leone,PORT LOKO,2/16/16,19,0,59,PORTLOKO
