"","Country","DistrictName","Week","Probable","Confirmed","ConfirmedFOI","ProbableFOI","DistrictID","WeekID","ProbableCumulative","ConfirmedCumulative","PopulationSize"
"250","Guinea","BEYLA","1/13/14",0,0,0,0,"BEYLA",2,0,0,325482
"252","Guinea","BOFFA","1/13/14",0,0,0,0.0953101798043249,"BOFFA",2,0,0,211063
"254","Guinea","BOKE","1/13/14",0,0,0,0,"BOKE",2,0,0,449405
"256","Guinea","CONAKRY","1/13/14",0,0,0,0.0953101798043249,"CONAKRY",2,0,0,1667864
"258","Guinea","COYAH","1/13/14",0,0,0,0.0953101798043249,"COYAH",2,0,0,264164
"260","Guinea","DABOLA","1/13/14",0,0,0,0,"DABOLA",2,0,0,182951
"262","Guinea","DALABA","1/13/14",0,0,0,0,"DALABA",2,0,0,136320
"264","Guinea","DINGUIRAYE","1/13/14",0,0,0,0,"DINGUIRAYE",2,0,0,195662
"266","Guinea","DUBREKA","1/13/14",0,0,0,1.09861228866811,"DUBREKA",2,0,0,328418
"268","Guinea","FARANAH","1/13/14",0,0,0,0,"FARANAH",2,0,0,280511
"270","Guinea","FORECARIAH","1/13/14",0,0,0,0,"FORECARIAH",2,0,0,244649
"272","Guinea","FRIA","1/13/14",0,0,0,0.0953101798043249,"FRIA",2,0,0,96527
"274","Guinea","GAOUAL","1/13/14",0,0,0,0,"GAOUAL",2,0,0,194245
"276","Guinea","GUECKEDOU","1/13/14",0,0,0,0,"GUECKEDOU",2,0,0,291823
"278","Guinea","KANKAN","1/13/14",0,0,0,0,"KANKAN",2,0,0,472112
"280","Guinea","KEROUANE","1/13/14",0,0,0,0,"KEROUANE",2,0,0,211017
"282","Guinea","KINDIA","1/13/14",0,0,0,0.0953101798043249,"KINDIA",2,0,0,438315
"284","Guinea","KISSIDOUGOU","1/13/14",0,0,0,0,"KISSIDOUGOU",2,0,0,283609
"286","Guinea","KOUBIA","1/13/14",0,0,0,0,"KOUBIA",2,0,0,101171
"288","Guinea","KOUNDARA","1/13/14",0,0,0,0,"KOUNDARA",2,0,0,130205
"290","Guinea","KOUROUSSA","1/13/14",0,0,0,0,"KOUROUSSA",2,0,0,268224
"292","Guinea","LABE","1/13/14",0,0,0,0,"LABE",2,0,0,318663
"294","Guinea","LELOUMA","1/13/14",0,0,0,0,"LELOUMA",2,0,0,162634
"296","Guinea","LOLA","1/13/14",0,0,0,0,"LOLA",2,0,0,175213
"298","Guinea","MACENTA","1/13/14",0,0,0,0,"MACENTA",2,0,0,298282
"300","Guinea","MALI","1/13/14",0,0,0,0,"MALI",2,0,0,290320
"302","Guinea","MAMOU","1/13/14",0,0,0,0,"MAMOU",2,0,0,318738
"304","Guinea","N'ZEREKORE","1/13/14",0,0,0,0,"NZEREKORE",2,0,0,396118
"306","Guinea","PITA","1/13/14",0,0,0,0,"PITA",2,0,0,277059
"308","Guinea","SIGUIRI","1/13/14",0,0,0,0,"SIGUIRI",2,0,0,695449
"310","Guinea","TELIMELE","1/13/14",0,0,0,0.0953101798043249,"TELIMELE",2,0,0,283639
"312","Guinea","TOUGUE","1/13/14",0,0,0,0,"TOUGUE",2,0,0,122959
"314","Guinea","YOMOU","1/13/14",0,0,0,0,"YOMOU",2,0,0,176664
"316","Liberia","BOMI","1/13/14",0,0,0,0,"BOMI",2,0,0,103887
"318","Liberia","BONG","1/13/14",0,0,0,0,"BONG",2,0,0,411847
"320","Liberia","GBARPOLU","1/13/14",0,0,0,0,"GBARPOLU",2,0,0,102984
"322","Liberia","GRAND BASSA","1/13/14",0,0,0,0,"GRANDBASSA",2,0,0,273790
"324","Liberia","GRAND CAPE MOUNT","1/13/14",0,0,0,0,"GRANDCAPEMOUNT",2,0,0,156938
"326","Liberia","GRAND GEDEH","1/13/14",0,0,0,0,"GRANDGEDEH",2,0,0,154693
"328","Liberia","GRAND KRU","1/13/14",0,0,0,0,"GRANDKRU",2,0,0,71522
"330","Liberia","LOFA","1/13/14",0,0,0,0,"LOFA",2,0,0,341924
"332","Liberia","MARGIBI","1/13/14",0,0,0,0,"MARGIBI",2,0,0,259254
"334","Liberia","MARYLAND","1/13/14",0,0,0,0,"MARYLAND",2,0,0,167883
"336","Liberia","MONTSERRADO","1/13/14",0,0,0,0,"MONTSERRADO",2,0,0,1381022
"338","Liberia","NIMBA","1/13/14",0,0,0,0,"NIMBA",2,0,0,570600
"340","Liberia","RIVER GEE","1/13/14",0,0,0,0,"RIVERGEE",2,0,0,82484
"342","Liberia","RIVERCESS","1/13/14",0,0,0,0,"RIVERCESS",2,0,0,88313
"344","Liberia","SINOE","1/13/14",0,0,0,0,"SINOE",2,0,0,126452
"346","Sierra Leone","BO","1/13/14",0,0,0,0,"BO",2,0,0,587350
"348","Sierra Leone","BOMBALI","1/13/14",0,0,0,0,"BOMBALI",2,0,0,517326
"350","Sierra Leone","BONTHE","1/13/14",0,0,0,0,"BONTHE",2,0,0,176948
"352","Sierra Leone","KAILAHUN","1/13/14",0,0,0,0,"KAILAHUN",2,0,0,453736
"354","Sierra Leone","KAMBIA","1/13/14",0,0,0,0,"KAMBIA",2,0,0,342607
"356","Sierra Leone","KENEMA","1/13/14",0,0,0,0,"KENEMA",2,0,0,630774
"358","Sierra Leone","KOINADUGU","1/13/14",0,0,0,0,"KOINADUGU",2,0,0,336648
"360","Sierra Leone","KONO","1/13/14",0,0,0,0,"KONO",2,0,0,424868
"362","Sierra Leone","MOYAMBA","1/13/14",0,0,0,0,"MOYAMBA",2,0,0,330507
"364","Sierra Leone","PORT LOKO","1/13/14",0,0,0,0,"PORTLOKO",2,0,0,574781
"366","Sierra Leone","PUJEHUN","1/13/14",0,0,0,0,"PUJEHUN",2,0,0,289315
"368","Sierra Leone","TONKOLILI","1/13/14",0,0,0,0,"TONKOLILI",2,0,0,439810
"370","Sierra Leone","WESTERN AREA RURAL","1/13/14",0,0,0,0,"WESTERNAREARURAL",2,0,0,1199763
"372","Sierra Leone","WESTERN AREA URBAN","1/13/14",0,0,0,0,"WESTERNAREAURBAN",2,0,0,979034
"374","Guinea","BEYLA","1/20/14",0,0,0,0,"BEYLA",3,0,0,325482
"376","Guinea","BOFFA","1/20/14",0,0,0,0.22314355131421,"BOFFA",3,0,0,211063
"378","Guinea","BOKE","1/20/14",0,0,0,0,"BOKE",3,0,0,449405
"380","Guinea","CONAKRY","1/20/14",0,0,0,0.22314355131421,"CONAKRY",3,0,0,1667864
"382","Guinea","COYAH","1/20/14",0,0,0,0.22314355131421,"COYAH",3,0,0,264164
"384","Guinea","DABOLA","1/20/14",0,0,0,0,"DABOLA",3,0,0,182951
"386","Guinea","DALABA","1/20/14",0,0,0,0,"DALABA",3,0,0,136320
"388","Guinea","DINGUIRAYE","1/20/14",0,0,0,0,"DINGUIRAYE",3,0,0,195662
"390","Guinea","DUBREKA","1/20/14",0,0,0,1.79175946922805,"DUBREKA",3,0,0,328418
"392","Guinea","FARANAH","1/20/14",0,0,0,0,"FARANAH",3,0,0,280511
"394","Guinea","FORECARIAH","1/20/14",0,0,0,0,"FORECARIAH",3,0,0,244649
"396","Guinea","FRIA","1/20/14",0,0,0,0.22314355131421,"FRIA",3,0,0,96527
"398","Guinea","GAOUAL","1/20/14",0,0,0,0,"GAOUAL",3,0,0,194245
"400","Guinea","GUECKEDOU","1/20/14",5,0,0,0,"GUECKEDOU",3,0,0,291823
"402","Guinea","KANKAN","1/20/14",0,0,0,0,"KANKAN",3,0,0,472112
"404","Guinea","KEROUANE","1/20/14",0,0,0,0,"KEROUANE",3,0,0,211017
"406","Guinea","KINDIA","1/20/14",0,0,0,0.22314355131421,"KINDIA",3,0,0,438315
"408","Guinea","KISSIDOUGOU","1/20/14",0,0,0,0,"KISSIDOUGOU",3,0,0,283609
"410","Guinea","KOUBIA","1/20/14",0,0,0,0,"KOUBIA",3,0,0,101171
"412","Guinea","KOUNDARA","1/20/14",0,0,0,0,"KOUNDARA",3,0,0,130205
"414","Guinea","KOUROUSSA","1/20/14",0,0,0,0,"KOUROUSSA",3,0,0,268224
"416","Guinea","LABE","1/20/14",0,0,0,0,"LABE",3,0,0,318663
"418","Guinea","LELOUMA","1/20/14",0,0,0,0,"LELOUMA",3,0,0,162634
"420","Guinea","LOLA","1/20/14",0,0,0,0,"LOLA",3,0,0,175213
"422","Guinea","MACENTA","1/20/14",0,0,0,0,"MACENTA",3,0,0,298282
