"","Country","District","Case_Type","Week","Probable","Confirmed","confirmed.foi","probable.foi","probable_cumulative","confirmed_cumulative","population_size","log_normalized_probable","normalized_confirmed","normalized_probable_cumulative","normalized_confirmed_cumulative"
"432","Liberia","RIVERGEE"," Probable",2015-01-06,0,0,0,0,0,0,82484,0,0,0,0
"436","Liberia","RIVERCESS"," Probable",2015-01-06,0,0,0,0,0,0,88313,0,0,0,0
"440","Liberia","SINOE"," Probable",2015-01-06,0,0,0,0,0,0,126452,0,0,0,0
"444","Sierra Leone","BO"," Probable",2015-01-06,0,0,0,0,0,0,587350,0,0,0,0
"448","Sierra Leone","BOMBALI"," Probable",2015-01-06,0,0,0,0,0,0,517326,0,0,0,0
"452","Sierra Leone","BONTHE"," Probable",2015-01-06,0,0,0,0,0,0,176948,0,0,0,0
"456","Sierra Leone","KAILAHUN"," Probable",2015-01-06,0,0,0,0,0,0,453736,0,0,0,0
"460","Sierra Leone","KAMBIA"," Probable",2015-01-06,0,0,0,0,0,0,342607,0,0,0,0
"464","Sierra Leone","KENEMA"," Probable",2015-01-06,0,0,0,0,0,0,630774,0,0,0,0
"468","Sierra Leone","KOINADUGU"," Probable",2015-01-06,0,0,0,0,0,0,336648,0,0,0,0
"472","Sierra Leone","KONO"," Probable",2015-01-06,0,0,0,0,0,0,424868,0,0,0,0
"476","Sierra Leone","MOYAMBA"," Probable",2015-01-06,0,0,0,0,0,0,330507,0,0,0,0
"480","Sierra Leone","PORTLOKO"," Probable",2015-01-06,0,0,0,0,0,0,574781,0,0,0,0
"484","Sierra Leone","PUJEHUN"," Probable",2015-01-06,0,0,0,0,0,0,289315,0,0,0,0
"488","Sierra Leone","TONKOLILI"," Probable",2015-01-06,0,0,0,0,0,0,439810,0,0,0,0
"492","Sierra Leone","WESTERNAREARURAL"," Probable",2015-01-06,0,0,0,0,0,0,1199763,0,0,0,0
"496","Sierra Leone","WESTERNAREAURBAN"," Probable",2015-01-06,0,0,0,0,0,0,979034,0,0,0,0
"500","Guinea","BEYLA"," Probable",2015-01-13,0,0,0,0,0,0,325482,0,0,0,0
"504","Guinea","BOFFA"," Probable",2015-01-13,0,0,0,0.0392207131532813,0,0,211063,0,0,0,0
"508","Guinea","BOKE"," Probable",2015-01-13,0,0,0,0,0,0,449405,0,0,0,0
"512","Guinea","CONAKRY"," Probable",2015-01-13,0,0,0,0.0392207131532813,0,0,1667864,0,0,0,0
"516","Guinea","COYAH"," Probable",2015-01-13,0,0,0,0.0392207131532813,0,0,264164,0,0,0,0
"520","Guinea","DABOLA"," Probable",2015-01-13,0,0,0,0,0,0,182951,0,0,0,0
"524","Guinea","DALABA"," Probable",2015-01-13,0,0,0,0,0,0,136320,0,0,0,0
"528","Guinea","DINGUIRAYE"," Probable",2015-01-13,0,0,0,0,0,0,195662,0,0,0,0
"532","Guinea","DUBREKA"," Probable",2015-01-13,0,0,0,1.09861228866811,0,0,328418,0,0,0,0
"536","Guinea","FARANAH"," Probable",2015-01-13,0,0,0,0,0,0,280511,0,0,0,0
"540","Guinea","FORECARIAH"," Probable",2015-01-13,0,0,0,0,0,0,244649,0,0,0,0
"544","Guinea","FRIA"," Probable",2015-01-13,0,0,0,0.0392207131532813,0,0,96527,0,0,0,0
"548","Guinea","GAOUAL"," Probable",2015-01-13,0,0,0,0,0,0,194245,0,0,0,0
"552","Guinea","GUECKEDOU"," Probable",2015-01-13,0,0,0,0,2,0,291823,0,0,6.85346939754577e-06,0
"556","Guinea","KANKAN"," Probable",2015-01-13,0,0,0,0,0,0,472112,0,0,0,0
"560","Guinea","KEROUANE"," Probable",2015-01-13,0,0,0,0,0,0,211017,0,0,0,0
"564","Guinea","KINDIA"," Probable",2015-01-13,0,0,0,0.0392207131532813,0,0,438315,0,0,0,0
"568","Guinea","KISSIDOUGOU"," Probable",2015-01-13,0,0,0,0,0,0,283609,0,0,0,0
"572","Guinea","KOUBIA"," Probable",2015-01-13,0,0,0,0,0,0,101171,0,0,0,0
"576","Guinea","KOUNDARA"," Probable",2015-01-13,0,0,0,0,0,0,130205,0,0,0,0
"580","Guinea","KOUROUSSA"," Probable",2015-01-13,0,0,0,0,0,0,268224,0,0,0,0
"584","Guinea","LABE"," Probable",2015-01-13,0,0,0,0,0,0,318663,0,0,0,0
"588","Guinea","LELOUMA"," Probable",2015-01-13,0,0,0,0,0,0,162634,0,0,0,0
"592","Guinea","LOLA"," Probable",2015-01-13,0,0,0,0,0,0,175213,0,0,0,0
"596","Guinea","MACENTA"," Probable",2015-01-13,0,0,0,0,0,0,298282,0,0,0,0
"600","Guinea","MALI"," Probable",2015-01-13,0,0,0,0,0,0,290320,0,0,0,0
"604","Guinea","MAMOU"," Probable",2015-01-13,0,0,0,0,0,0,318738,0,0,0,0
"608","Guinea","NZEREKORE"," Probable",2015-01-13,0,0,0,0,0,0,396118,0,0,0,0
"612","Guinea","PITA"," Probable",2015-01-13,0,0,0,0,0,0,277059,0,0,0,0
"616","Guinea","SIGUIRI"," Probable",2015-01-13,0,0,0,0,0,0,695449,0,0,0,0
"620","Guinea","TELIMELE"," Probable",2015-01-13,0,0,0,0.0392207131532813,0,0,283639,0,0,0,0
"624","Guinea","TOUGUE"," Probable",2015-01-13,0,0,0,0,0,0,122959,0,0,0,0
"628","Guinea","YOMOU"," Probable",2015-01-13,0,0,0,0,0,0,176664,0,0,0,0
"632","Liberia","BOMI"," Probable",2015-01-13,0,0,0,0,0,0,103887,0,0,0,0
"636","Liberia","BONG"," Probable",2015-01-13,0,0,0,0,0,0,411847,0,0,0,0
"640","Liberia","GBARPOLU"," Probable",2015-01-13,0,0,0,0,0,0,102984,0,0,0,0
"644","Liberia","GRANDBASSA"," Probable",2015-01-13,0,0,0,0,0,0,273790,0,0,0,0
"648","Liberia","GRANDCAPEMOUNT"," Probable",2015-01-13,0,0,0,0,0,0,156938,0,0,0,0
"652","Liberia","GRANDGEDEH"," Probable",2015-01-13,0,0,0,0,0,0,154693,0,0,0,0
